Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/profile,1,1,717.9282999995849,717.9282999995849,717.9282999995849,717.9282999995849,169.0,0.05579523997869931,0.05579523997869931,720,720,720,720,720,720,720,720,720,720,720
POST,/api/v1/auth/verify-email,7,7,220.0,246.96639999988943,155.04330000021582,530.1182000002882,91.0,0.39056667985089516,0.39056667985089516,220,230,240,240,530,530,530,530,530,530,530
GET,/api/v1/docs,4,4,200.0,297.6498749999337,152.03759999985778,604.9941000001127,22.0,0.22318095991479725,0.22318095991479725,230,230,600,600,600,600,600,600,600,600,600
POST,/api/v1/docs/upload,8,0,190.0,189.935787500076,139.4588000002841,246.05890000020736,202.0,0.4463619198295945,0.0,200,200,210,210,250,250,250,250,250,250,250
GET,/api/v1/health,2,0,160.0,374.75475000019287,155.00150000025315,594.5080000001326,89.0,0.11159047995739863,0.0,590,590,590,590,590,590,590,590,590,590,590
,Aggregated,22,12,200.0,268.4676545454336,139.4588000002841,717.9282999995849,122.18181818181819,1.2274952795313847,0.6695428797443918,200,230,240,250,590,600,720,720,720,720,720
